simulation_id,user_id,username,first_name,last_name,email,role,team_id,school_id,course_id,password_hash,is_locked,created_at_utc,updated_at_utc
sim_demo,U001,admin_sim_demo,Admin,,,ADMIN,,,,$2b$12$etEihDH5rNDqPePTXogAzu3.4gD5KjcXh6YswU5tYhXEIAJ1Q4ooi,0,2026-03-05T20:39:06.559322+00:00,2026-03-05T20:39:06.559322+00:00
sim_demo,U002,demoadmin,Demo,Admin,demo@example.com,ADMIN,,,,$2b$12$N5wAwVi34juoZiSAJIZlUOT3ZSsQR/8CYaUf8GrEqLNBLypPheLyO,0,2026-03-05T20:39:07.498960+00:00,2026-03-05T20:39:07.498960+00:00
sim_demo,U003,demoprof,Demo,Professor,demoprof@example.com,PROFESSOR,,,,$2b$12$DbVeHVnRsNbls3qSGmamdubFfdMBNb22SH8cKqXk6tnDSr3YwICy2,0,2026-03-05T20:39:08.882230+00:00,2026-03-05T20:39:08.882230+00:00
sim_demo,U004,demota,Demo,TA,demota@example.com,TA,,,,$2b$12$.nJvl/4bHTIlflHOfLyT2egtXPCkj8E/XPQEWHbcpRGLHuuY6ENEu,0,2026-03-05T20:39:10.254365+00:00,2026-03-05T20:39:10.254365+00:00
sim_demo,U005,demouser1,Demo,User1,demo1@example.com,USER,A,,,$2b$12$5RE2ldV9AM/YpSYOQm0..OopsWhkSQCsx4bvoxpxKYhkx8h5zKJz.,0,2026-03-05T20:39:11.664633+00:00,2026-03-05T20:39:11.664633+00:00
sim_demo,U006,demouser2,Demo,User2,demo2@example.com,USER,B,,,$2b$12$i6Yhm2jKuHzabj4tQ3mxauUq5EkL5euPhvuFLVB.7DCMehM0hrSr6,0,2026-03-05T20:39:13.036245+00:00,2026-03-05T20:39:13.036245+00:00
sim_demo,U007,demouser3,Demo,User3,demo3@example.com,USER,C,,,$2b$12$MM4BIFpCLmhA5Bo6/.goD.i0ibFSkebGSjs3buzrUv7bBDPMJAcEa,0,2026-03-05T20:39:14.433798+00:00,2026-03-05T20:39:14.433798+00:00
sim_demo,U008,demouser4,Demo,User4,demo4@example.com,USER,D,,,$2b$12$52.SmRCDHCGJpcFeTxSeE.zu/8nZwoKx4jWAGmWFwN60UCOHvf1Qm,0,2026-03-05T20:39:15.795070+00:00,2026-03-05T20:39:15.795070+00:00
sim_demo,U009,demouser5,Demo,User5,demo5@example.com,USER,E,,,$2b$12$C1SxEu2GMoNQF3cM42jlL.klYMgrqg92sz9zOaE3yNUCEzDz.Dm0C,0,2026-03-05T20:39:17.344356+00:00,2026-03-05T20:39:17.344356+00:00
sim_demo,U010,demouser6,Demo,User6,demo6@example.com,USER,F,,,$2b$12$satJqdrgk2BA6j7Ewz8SMuKGs8eepPWzx4Dn9pqw37CXdPjip6ey.,0,2026-03-05T20:39:18.706444+00:00,2026-03-05T20:39:18.706444+00:00
